2,2^1,"(1, 1)"
3,3^1,"Cannot be represented"
4,2^2,"(0, 2)"
5,5^1,"(1, 2)"
6,2^1 * 3^1,"Cannot be represented"
7,7^1,"Cannot be represented"
8,2^3,"(2, 2)"
9,3^2,"(0, 3)"
10,2^1 * 5^1,"(1, 3)"
11,11^1,"Cannot be represented"
12,2^2 * 3^1,"Cannot be represented"
13,13^1,"(2, 3)"
14,2^1 * 7^1,"Cannot be represented"
15,3^1 * 5^1,"Cannot be represented"
16,2^4,"(0, 4)"
17,17^1,"(1, 4)"
18,2^1 * 3^2,"(3, 3)"
19,19^1,"Cannot be represented"
20,2^2 * 5^1,"(2, 4)"
21,3^1 * 7^1,"Cannot be represented"
22,2^1 * 11^1,"Cannot be represented"
23,23^1,"Cannot be represented"
24,2^3 * 3^1,"Cannot be represented"
25,5^2,"(0, 5)"
26,2^1 * 13^1,"(1, 5)"
27,3^3,"Cannot be represented"
28,2^2 * 7^1,"Cannot be represented"
29,29^1,"(2, 5)"
30,2^1 * 3^1 * 5^1,"Cannot be represented"
31,31^1,"Cannot be represented"
32,2^5,"(4, 4)"
33,3^1 * 11^1,"Cannot be represented"
34,2^1 * 17^1,"(3, 5)"
35,5^1 * 7^1,"Cannot be represented"
36,2^2 * 3^2,"(0, 6)"
37,37^1,"(1, 6)"
38,2^1 * 19^1,"Cannot be represented"
39,3^1 * 13^1,"Cannot be represented"
40,2^3 * 5^1,"(2, 6)"
41,41^1,"(4, 5)"
42,2^1 * 3^1 * 7^1,"Cannot be represented"
43,43^1,"Cannot be represented"
44,2^2 * 11^1,"Cannot be represented"
45,3^2 * 5^1,"(6, 3)"
46,2^1 * 23^1,"Cannot be represented"
47,47^1,"Cannot be represented"
48,2^4 * 3^1,"Cannot be represented"
49,7^2,"(0, 7)"
50,2^1 * 5^2,"(1, 7)"
51,3^1 * 17^1,"Cannot be represented"
52,2^2 * 13^1,"(6, 4)"
53,53^1,"(2, 7)"
54,2^1 * 3^3,"Cannot be represented"
55,5^1 * 11^1,"Cannot be represented"
56,2^3 * 7^1,"Cannot be represented"
57,3^1 * 19^1,"Cannot be represented"
